Superheading,Heading,Sub-Heading,Resource Links,Actual URL,Info,,
,,,Lecture-13,https://youtu.be/j_xO7u8kYvc,,,
,,,Lecture-14,https://youtu.be/7mW4TtcB_GU,,,
,,,Lecture-15,https://youtu.be/948i_vvt1j8,,,
,,,Lecture-16,https://youtu.be/GbUB9QBfKIM,,,
,,,Web-1,https://youtu.be/YPwWCLZ-D8g,,,
,,,Web-2,https://youtu.be/PtxGCIDie2g,,,
,,,Web-3,https://youtu.be/r36IyQr1C9M,,,
,,,Web-4,https://youtu.be/ayUhwgPf8vQ,,,
,,,,,,,
,6. AI & ML TECHNIQUES FOR CYBER SECURITY ,,,,,,Vedant Jain
,,"Books	",,,,,
,,,AI_cybersecurity_dummies pdf file,https://tinyurl.com/2auma5fo,,,
,,,Computer_Security_Principles… pdf file,https://tinyurl.com/24nn94nu,,,
,,,Cybersecurity Games_ Mathematical… pdf file,https://tinyurl.com/23fmc25p,,,
,,,Data Mining and Machine Learning … pdf file,https://tinyurl.com/2dofxt5u,,,
,,,IntroductionToArtificialIntelligenceFo… pdf file,https://tinyurl.com/2cllorte,,,
,,,WhitePaper-BB-introduction-to-ai-fo… pdf file,https://tinyurl.com/29fbtklb,,,
,,"Lectures PPT	",,,,,
,,,All Lectures pdf file,https://tinyurl.com/25hbr4aa,,,
,,,,,,,
,,"Lecture Videos	",,,,,
,,,"Lecture-1,2: Introduction",https://youtu.be/795LEv7DQzM,,,
,,,Lecture-3: ML-Part1,https://youtu.be/7tSzxMeZRL8,,,
,,,Lecture-4: ML Part2,https://youtu.be/Y_se291rAAA,,,
,,,"Lecture 05:  Supervised Learning, Misuse Signature Detection",https://youtu.be/CzvGQ968gaw,,,
,,,Lecture 06: MachineLearning Anomaly Detection,https://youtu.be/zKd85zjrtpY,,,
,,,Lecture 09:   Malware Detection & Classification Part 1,https://youtu.be/bTaSPpmq7L4,,,
,,,Lecture 10:  Malware Detection & Classification Part 2,https://youtu.be/VMuetwwI7wc,,,
,,,Lecture 11:  Intrusion Detection Part 1,https://youtu.be/W3elFJCIBTY,,,
,,,Lecture 12:  Intrusion Detection Part 2,https://youtu.be/Ot0Hc5HxSGg,,,
,,,Lecture 13:  Domain Detection & Categorization,https://youtu.be/RIsv-TvSgec,,,
,,,Lecture 14:  Profile Network Traffic,https://youtu.be/CQcVaeIrFeI,,,
,,,Lecture 15:  Adversial Machine Learning Malware Detection,https://youtu.be/pdB3A4aeiw0,,,
,,,Web-1,https://youtu.be/lf2xmrlPJ-s,,,
,,,Web-2,https://youtu.be/0r4Gl6WyXrI,,,
,,,Web-3,https://youtu.be/qYmHAXIqst0,,,
,,,,,,,
,7. MLSysOptimization,,,,,,
,,"Books	",,,,,
,,,No Books,,,,
,,,,,,,
,,"Lectures PPT	",,,,,
,,,All Class Notes zip file,https://tinyurl.com/2acxk38v,,,
,,,,,,,
,,,,,,,
,,"Lecture Videos	",,,,,
,,,Lecture-1,https://youtu.be/juxVnLBLxKc,,,
